student_id,section_id,subject,course_code,component,is_anchor,units
3517,ECON-310-SEM-01,ECON,310,SEM,True,2
3517,ME-310C-LAB-01,ME,310C,LAB,True,4
3517,COMM-369-SEM-01,COMM,369,SEM,True,3
3517,COMM-345-SEM-01,COMM,345,SEM,True,3
3517,EE-334-LEC-01,EE,334,LEC,True,3
4101,MS&E-254-LEC-01,MS&E,254,LEC,True,3
4101,ENGR-306-LEC-01,ENGR,306,LEC,True,3
4101,ENGR-306-LBS-02,ENGR,306,LBS,False,0
4101,PSYCH-217-SEM-01,PSYCH,217,SEM,True,5
4101,COMM-245-LEC-01,COMM,245,LEC,True,5
394,CEE-324-LEC-01,CEE,324,LEC,True,3
394,STATS-354-LEC-02,STATS,354,LEC,True,3
394,EE-256-LEC-01,EE,256,LEC,True,3
394,ECON-335-WKS-01,ECON,335,WKS,True,3
2924,BIOE-374B-LEC-01,BIOE,374B,LEC,True,4
2924,ENGR-295-LEC-01,ENGR,295,LEC,True,3
2924,CHEMENG-699-COL-01,CHEMENG,699,COL,True,1
2924,PSYCH-235-SEM-01,PSYCH,235,SEM,True,3
2924,EARTHSYS-281-SEM-01,EARTHSYS,281,SEM,True,3
2924,MS&E-221-LEC-01,MS&E,221,LEC,True,3
4497,PHYSICS-361-LEC-01,PHYSICS,361,LEC,True,3
4497,EE-220-LEC-01,EE,220,LEC,True,3
4497,ECON-220-LEC-01,ECON,220,LEC,True,5
4497,HISTORY-343C-COL-01,HISTORY,343C,COL,True,5
2755,POLISCI-353C-WKS-01,POLISCI,353C,WKS,True,1
2755,CS-220-SEM-01,CS,220,SEM,True,4
2755,ME-236-LEC-01,ME,236,LEC,True,3
2755,CEE-324-LEC-01,CEE,324,LEC,True,2
2755,BIOE-296-LEC-01,BIOE,296,LEC,True,1
2755,CHEM-299-LEC-01,CHEM,299,LEC,True,2
2755,CHEM-299-DIS-03,CHEM,299,DIS,False,0
5967,CEE-241C-SEM-01,CEE,241C,SEM,True,2
5967,MUSIC-300K-SEM-01,MUSIC,300K,SEM,True,4
5967,EARTHSYS-242-LEC-01,EARTHSYS,242,LEC,True,3
5967,EE-278-LEC-01,EE,278,LEC,True,3
5967,EE-392C-SEM-01,EE,392C,SEM,True,3
684,EE-292G-LEC-01,EE,292G,LEC,True,3
684,MS&E-223-LEC-01,MS&E,223,LEC,True,3
684,CEE-363F-LEC-01,CEE,363F,LEC,True,3
684,EE-292K-SEM-01,EE,292K,SEM,True,1
684,CS-231N-LEC-01,CS,231N,LEC,True,4
684,EE-267W-LEC-01,EE,267W,LEC,True,5
1026,EE-372-LEC-01,EE,372,LEC,True,4
1026,MS&E-297-LEC-01,MS&E,297,LEC,True,4
1026,CEE-122B-LEC-01,CEE,122B,LEC,True,3
1026,CS-338-LEC-01,CS,338,LEC,True,3
290,CEE-327-LEC-01,CEE,327,LEC,True,3
290,STATS-203-LEC-01,STATS,203,LEC,True,3
290,BIO-47-LAB-03,BIO,47,LAB,True,4
290,BIO-47-LBS-06,BIO,47,LBS,False,0
290,MATH-205C-LEC-01,MATH,205C,LEC,True,3
3313,MUSIC-323-SEM-01,MUSIC,323,SEM,True,3
3313,HISTORY-323G-COL-01,HISTORY,323G,COL,True,5
3313,HISTORY-351F-COL-01,HISTORY,351F,COL,True,5
2221,BIO-231-LEC-01,BIO,231,LEC,True,3
2221,STATS-318-LEC-01,STATS,318,LEC,True,3
2221,STATS-362-LEC-01,STATS,362,LEC,True,3
2221,MS&E-330-LEC-01,MS&E,330,LEC,True,3
2221,CHEM-225-LEC-01,CHEM,225,LEC,True,3
4071,PSYCH-284-SEM-01,PSYCH,284,SEM,True,3
4071,ANTHRO-392-SEM-01,ANTHRO,392,SEM,True,3
4071,TAPS-323-SEM-01,TAPS,323,SEM,True,4
4071,ANTHRO-308A-SEM-01,ANTHRO,308A,SEM,True,5
19,ANTHRO-123A-SEM-01,ANTHRO,123A,SEM,True,5
19,ME-361-LEC-01,ME,361,LEC,True,3
19,HISTORY-200DE-COL-01,HISTORY,200DE,COL,True,5
19,COMM-345-SEM-01,COMM,345,SEM,True,3
3739,COMM-277G-SEM-01,COMM,277G,SEM,True,3
3739,MS&E-260-LEC-01,MS&E,260,LEC,True,3
3739,PHIL-359-SEM-01,PHIL,359,SEM,True,3
3739,SOC-317W-WKS-01,SOC,317W,WKS,True,2
3739,EE-237-LEC-01,EE,237,LEC,True,3
1174,CS-323-LEC-01,CS,323,LEC,True,4
1174,COMM-372B-SEM-01,COMM,372B,SEM,True,3
1174,SOC-305-SEM-01,SOC,305,SEM,True,1
1174,POLISCI-356B-LEC-01,POLISCI,356B,LEC,True,5
2426,POLISCI-440D-WKS-01,POLISCI,440D,WKS,True,1
2426,PHIL-317C-SEM-01,PHIL,317C,SEM,True,4
2426,BIOE-376-LEC-01,BIOE,376,LEC,True,4
2426,CS-273C-LEC-01,CS,273C,LEC,True,3
2426,ECON-355-SEM-01,ECON,355,SEM,True,2
2426,POLISCI-400C-SEM-01,POLISCI,400C,SEM,True,5
297,ENGR-203-PRA-05,ENGR,203,PRA,True,3
297,ME-360-LEC-01,ME,360,LEC,True,3
297,CEE-248-LEC-01,CEE,248,LEC,True,2
297,CEE-342-LEC-01,CEE,342,LEC,True,3
297,EARTHSYS-217-LEC-01,EARTHSYS,217,LEC,True,4
297,MS&E-326-LEC-01,MS&E,326,LEC,True,3
4152,EARTHSYS-292-SEM-01,EARTHSYS,292,SEM,True,3
4152,POLISCI-154-LEC-01,POLISCI,154,LEC,True,5
4152,MUSIC-300K-SEM-01,MUSIC,300K,SEM,True,3
4152,HISTORY-311M-WKS-01,HISTORY,311M,WKS,True,1
4152,HISTORY-338J-COL-01,HISTORY,338J,COL,True,4
5020,BIOE-376-LEC-01,BIOE,376,LEC,True,4
5020,HISTORY-252B-SEM-01,HISTORY,252B,SEM,True,5
5020,HISTORY-355D-COL-01,HISTORY,355D,COL,True,4
5020,ECON-220-LEC-01,ECON,220,LEC,True,5
4208,CEE-330-LEC-01,CEE,330,LEC,True,3
4208,ME-310C-LAB-01,ME,310C,LAB,True,5
4208,EE-237-LEC-01,EE,237,LEC,True,3
4208,ME-218C-LEC-01,ME,218C,LEC,True,4
4208,ANTHRO-314E-SEM-01,ANTHRO,314E,SEM,True,5
2122,EE-364B-LEC-01,EE,364B,LEC,True,3
2122,CEE-207A-LEC-01,CEE,207A,LEC,True,4
2122,HISTORY-299CW-WKS-01,HISTORY,299CW,WKS,True,1
2122,MATH-205C-LEC-01,MATH,205C,LEC,True,3
2122,CEE-279E-LEC-01,CEE,279E,LEC,True,3
5395,STATS-260C-WKS-01,STATS,260C,WKS,True,1
5395,BIO-312-SEM-01,BIO,312,SEM,True,1
5395,CHEMENG-467-LEC-01,CHEMENG,467,LEC,True,3
5395,CHEM-143-LEC-02,CHEM,143,LEC,True,4
5395,CHEM-143-DIS-06,CHEM,143,DIS,False,0
5395,MATH-232-LEC-01,MATH,232,LEC,True,3
5395,PHYSICS-301-LAB-01,PHYSICS,301,LAB,True,3
5395,PHYSICS-301-LBS-03,PHYSICS,301,LBS,False,0
5728,ME-283-LEC-01,ME,283,LEC,True,3
5728,POLISCI-422-WKS-01,POLISCI,422,WKS,True,1
5728,PWR-1MO-SEM-02,PWR,1MO,SEM,True,4
5728,SYMSYS-210-SEM-01,SYMSYS,210,SEM,True,3
5728,MS&E-435-SEM-01,MS&E,435,SEM,True,1
6021,BIOE-396-SEM-01,BIOE,396,SEM,True,2
6021,ME-395-SEM-01,ME,395,SEM,True,1
6021,MS&E-463-WKS-01,MS&E,463,WKS,True,3
6021,MS&E-330-LEC-01,MS&E,330,LEC,True,3
6021,CEE-262H-LEC-01,CEE,262H,LEC,True,3
6021,CS-348K-LEC-01,CS,348K,LEC,True,4
6094,FILMEDIA-193-SEM-01,FILMEDIA,193,SEM,True,4
6094,FILMEDIA-453-SEM-01,FILMEDIA,453,SEM,True,4
6094,FILMEDIA-490-SEM-01,FILMEDIA,490,SEM,True,4
5355,CEE-273B-LEC-01,CEE,273B,LEC,True,1
5355,PHYSICS-352-LEC-01,PHYSICS,352,LEC,True,3
5355,ENGR-103-PRA-06,ENGR,103,PRA,True,3
5355,COMM-277A-SEM-01,COMM,277A,SEM,True,5
5355,PHYSICS-374-LEC-01,PHYSICS,374,LEC,True,3
2050,STATS-307-LEC-01,STATS,307,LEC,True,3
2050,CHEM-225-LEC-01,CHEM,225,LEC,True,3
2050,ME-395-SEM-01,ME,395,SEM,True,1
2050,ME-218C-LEC-01,ME,218C,LEC,True,4
2050,BIO-262H-LEC-01,BIO,262H,LEC,True,3
1978,SOC-229X-LEC-01,SOC,229X,LEC,True,5
1978,HISTORY-231G-SEM-01,HISTORY,231G,SEM,True,4
